Team,Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,alt
MIN,Robert Covington,Tyus Jones,11,10.7,22,0.6,1.75,3.15,0.3445,RobertCovington
MIN,Taj Gibson,Jeff Teague,64,11.45,30,0.5,0.9,4.7,0.3285,TajGibson
MIN,Jeff Teague,Derrick Rose,10,15.05,30,0.3,0.8,6.25,0.3515,JeffTeague
MIN,Andrew Wiggins,Derrick Rose,17,18.05,30,0.45,0.8,3.4,0.3545,AndrewWiggins
MIN,Dario Šarić,Karl-Anthony Towns,34,17.45,23,0.85,0.75,2.45,0.3915,DarioŠarić
MIN,Robert Covington,Dario Šarić,3,11.95,24,0.7,1.35,1.45,0.3715,RobertCovington
MIN,Robert Covington,Dario Šarić,3,11.2,24,1,1.05,1.55,0.345,RobertCovington
MIN,Robert Covington,Dario Šarić,3,12.5,24,0.6,1.45,1.5,0.3775,RobertCovington
MIN,Derrick Rose,Tyus Jones,17,12.45,22,0.15,0.9,4.55,0.3435,DerrickRose
MIN,Gorgui Dieng,Jeff Teague,8,9.25,30,0.45,0.8,4.55,0.336,GorguiDieng
MIN,Josh Okogie,Derrick Rose,10,12.85,30,0.3,0.9,2.75,0.3245,JoshOkogie
MIN,Josh Okogie,Karl-Anthony Towns,23,16.05,23,1,1.05,2.3,0.3395,JoshOkogie
MIN,Derrick Rose,Josh Okogie,3,12.85,20,0.3,0.9,2.75,0.3245,DerrickRose
MIN,Gorgui Dieng,Derrick Rose,21,12.2,30,0.35,0.6,2.6,0.3545,GorguiDieng
MIN,Dario Šarić,Andrew Wiggins,15,14.3,23,0.4,0.8,2,0.361,DarioŠarić
MIN,Robert Covington,Jeff Teague,19,13.3,30,0.75,1.65,4.85,0.3525,RobertCovington
MIN,Josh Okogie,Tyus Jones,27,7.3,22,0.25,1.2,3,0.298,JoshOkogie
MIN,Robert Covington,Andrew Wiggins,10,16.3,23,0.9,1.65,2,0.3555,RobertCovington
MIN,Karl-Anthony Towns,Robert Covington,8,19.45,28,1.35,1.6,2.45,0.386,Karl-AnthonyTowns
